epoch,loss,lr,val_loss
0,0.039112267826571956,1e-04,0.03777734033861674
1,0.032100832800384026,1e-04,0.03670964417783172
2,0.02859808286909352,1e-04,0.03255394773502471
3,0.026095301637632535,1e-04,0.03266398195109359
4,0.02398194453844153,1e-04,0.03263534887090426
5,0.022305587974798386,1e-04,0.031851494329673796
6,0.020597081321532634,1e-04,0.03219818797870032
7,0.019406458572786705,1e-04,0.03362724290240476
8,0.018635125801646495,1e-04,0.038267555373640315
9,0.017606772958912883,1e-04,0.03508942304533993
10,0.016828571259786804,1e-04,0.03541899506127059
11,0.016131940122327208,1e-04,0.03019476217519326
12,0.01531897459216402,1e-04,0.03836241904054807
13,0.0148845138450983,1e-04,0.032980739281753706
14,0.01443871959326647,1e-04,0.03567110442940132
15,0.013728805545508227,1e-04,0.03297498594077077
16,0.01328826316715,1e-04,0.03934942088764613
17,0.012928727042878441,1e-04,0.03601594393957701
18,0.012523921196889814,1e-04,0.03262806266818056
19,0.012030378331884023,1e-04,0.03602825677667999
20,0.011675210314497026,1e-04,0.03528235348413278
21,0.011262481067526673,1e-04,0.03637550493051543
22,0.00933422762888572,1e-05,0.03435653472710742
23,0.008761969781156159,1e-05,0.03399784046717968
24,0.008588348895873423,1e-05,0.0338157287341657
25,0.008400335309053696,1e-05,0.033624486145520306
26,0.008110709012838,1e-05,0.03323500068395308
27,0.007940667726570084,1e-05,0.034282458518145625
28,0.00791438545727914,1e-05,0.03409575455055511
29,0.00784553438576055,1e-05,0.032271037601827444
30,0.007515288510640081,1e-05,0.03313112585000309
31,0.0074154183822444115,1e-05,0.03431787318639533
32,0.007331785663894647,1e-06,0.03393603836492957
33,0.007287056656993098,1e-06,0.033878996131574725
34,0.007340730525405554,1e-06,0.03371877390650921
35,0.007329476758651463,1e-06,0.033558834455364416
36,0.007239145480340822,1e-06,0.03372183177461831
37,0.007247993721443574,1e-06,0.033964470805142075
38,0.0072555146242589946,1e-06,0.033656597802367835
39,0.00735054619918128,1e-06,0.033875215771887165
40,0.0072213948593030835,1e-06,0.03395038930829551
41,0.007133600141046024,1e-06,0.03376797871270644
42,0.007284557468567613,1e-07,0.0337618329847752
43,0.007195206762617701,1e-07,0.03380581855695979
44,0.00725432484195566,1e-07,0.033787357423491864
45,0.007224324094406247,1e-07,0.03374119674214266
46,0.0072525862561666436,1e-07,0.03384585843578397
47,0.007033450966138575,1e-07,0.03356890310129113
48,0.00717272720198939,1e-07,0.03356355191560555
49,0.00716630648868755,1e-07,0.033553978951408485
50,0.007076951319353494,1e-07,0.033531408319238086
51,0.0071360356698766895,1e-07,0.033419147516099854
52,0.007022964949524099,1e-08,0.03373209249004689
53,0.007115751359923917,1e-08,0.03373297857764163
54,0.007109761291435027,1e-08,0.03365489668939137
55,0.007176358602736448,1e-08,0.03348670001143532
56,0.007079255419673826,1e-08,0.03369046827962392
57,0.007114941336615267,1e-08,0.03368489857954331
58,0.007133027707743029,1e-08,0.03370819585399811
59,0.0071249479587838695,1e-08,0.033686963513506175
60,0.007253739446944164,1e-08,0.03372148744756583
61,0.007122001313923422,1e-08,0.033668554875270804
62,0.007334352554931672,1e-09,0.03349163278352703
63,0.007250700802605054,1e-09,0.03366883752110084
64,0.007071110158961589,1e-09,0.03354463673389923
65,0.007202910971450051,1e-09,0.03359162991285877
66,0.0071562709483284715,1e-09,0.033659174362164715
67,0.007203392001859657,1e-09,0.03350477807200001
68,0.007230541748882126,1e-09,0.03364019913737746
69,0.007232676295035681,1e-09,0.03384638735166584
70,0.007177662413646337,1e-09,0.03354430547564192
71,0.007217669989167535,1e-09,0.03341107166431471
72,0.007301355218420429,9.9999994e-11,0.033420041942012785
73,0.007210288435941761,9.9999994e-11,0.03355260871108952
74,0.0072366790553883165,9.9999994e-11,0.033460094912444976
75,0.0072565375914688535,9.9999994e-11,0.03340955978122599
76,0.007166570879776376,9.9999994e-11,0.033878767301397224
77,0.0071834245525383275,9.9999994e-11,0.03373744573794174
78,0.007107870319930501,9.9999994e-11,0.03343615207397276
79,0.007134420255365347,9.9999994e-11,0.03365480159207848
80,0.007142938029343418,9.9999994e-11,0.03352578732605159
81,0.007262375226740969,9.9999994e-11,0.03379445494137454
82,0.007270048959558336,9.999999e-12,0.03389968314837902
83,0.007240869256555906,9.999999e-12,0.03380013582368293
84,0.007174009306725299,9.999999e-12,0.03381284847373856
85,0.007250315884938325,9.999999e-12,0.033922079140147506
86,0.007192183137048715,9.999999e-12,0.03349874681807328
87,0.007084250490431855,9.999999e-12,0.03388594901086222
88,0.007143842961085302,9.999999e-12,0.03366760148130136
89,0.007102464162938305,9.999999e-12,0.03361712648001387
90,0.0072815349786317365,9.999999e-12,0.03359751910626313
91,0.007027585752700986,9.999999e-12,0.03349445776218103
92,0.007074412171555501,1e-12,0.03367894994310081
93,0.007135805871517779,1e-12,0.03361704775076302
94,0.007207954259176909,1e-12,0.033759219664665906
95,0.007188162872791074,1e-12,0.033464529864562054
96,0.0071730524710306946,1e-12,0.03385096886608617
97,0.007227269290426873,1e-12,0.03346504519599938
98,0.007192850640324662,1e-12,0.03393376051394797
99,0.007177351289737815,1e-12,0.03395302316136779
100,0.007166141710272975,1e-12,0.033762878516832406
101,0.007129398321493692,1e-12,0.033672882924190586
102,0.007149565590116106,1e-12,0.03387365477134396
103,0.007188474836376688,1e-12,0.033691236002598914
104,0.007209041131950766,1e-12,0.03367939333390104
105,0.007155630574820943,1e-12,0.033609288639372424
106,0.0072298171990958105,1e-12,0.03378752783651331
107,0.007146546377405544,1e-12,0.0338349982826756
108,0.0071892134871274814,1e-12,0.03371183114619736
109,0.007211169735306634,1e-12,0.03370631446322741
